,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.5366716,0.46332848,0,0,True,TN
1,0.35584453,0.64415544,1,0,False,FP
2,0.9769863,0.023013642,0,1,False,FN
3,0.9663459,0.033654016,0,1,False,FN
4,0.9563053,0.04369471,0,0,True,TN
5,0.98191017,0.0180898,0,0,True,TN
6,0.9469762,0.053023763,0,1,False,FN
7,0.7825857,0.2174143,0,0,True,TN
8,0.52689236,0.4731076,0,0,True,TN
9,0.9405058,0.05949418,0,0,True,TN
10,0.2521546,0.74784553,1,0,False,FP
11,0.8887547,0.11124529,0,0,True,TN
12,0.2985822,0.7014178,1,0,False,FP
13,0.9672127,0.032787345,0,0,True,TN
14,0.6068901,0.3931098,0,0,True,TN
15,0.89031714,0.10968278,0,0,True,TN
16,0.006699131,0.9933009,1,0,False,FP
17,0.9751017,0.024898248,0,0,True,TN
18,0.9343479,0.06565204,0,0,True,TN
19,0.62013745,0.37986264,0,0,True,TN
20,0.99136215,0.008637909,0,0,True,TN
21,0.035952237,0.96404785,1,0,False,FP
22,0.06342899,0.93657106,1,1,True,TP
23,0.9728791,0.027120838,0,1,False,FN
24,0.43979168,0.56020826,1,0,False,FP
25,0.97996336,0.020036677,0,0,True,TN
26,0.9729902,0.027009757,0,0,True,TN
27,0.887067,0.11293301,0,1,False,FN
28,0.049358662,0.9506413,1,1,True,TP
29,0.9443005,0.05569945,0,0,True,TN
30,0.9674217,0.032578196,0,0,True,TN
31,0.932111,0.06788892,0,0,True,TN
32,0.97589874,0.024101233,0,0,True,TN
33,0.9766139,0.02338607,0,0,True,TN
34,0.0050186156,0.99498135,1,0,False,FP
35,0.148481,0.851519,1,0,False,FP
36,0.9931962,0.0068038087,0,1,False,FN
37,0.9523838,0.047616184,0,1,False,FN
38,0.5505054,0.4494946,0,1,False,FN
39,0.14574234,0.85425764,1,0,False,FP
40,0.54580265,0.4541973,0,0,True,TN
41,0.05100026,0.9489997,1,0,False,FP
42,0.97589874,0.024101233,0,0,True,TN
43,0.9679551,0.03204481,0,0,True,TN
44,0.8342798,0.16572025,0,0,True,TN
45,0.94461924,0.055380598,0,1,False,FN
46,0.9746706,0.025329314,0,1,False,FN
47,0.98172325,0.018276636,0,0,True,TN
48,0.9539786,0.046021357,0,1,False,FN
49,0.6045278,0.39547214,0,1,False,FN
50,0.9627044,0.03729555,0,0,True,TN
51,0.9383764,0.061623618,0,1,False,FN
52,0.5543771,0.44562292,0,0,True,TN
53,0.25445896,0.74554104,1,1,True,TP
54,0.98255026,0.017449778,0,0,True,TN
55,0.00047849127,0.99952143,1,0,False,FP
56,0.028502952,0.971497,1,1,True,TP
57,0.71821785,0.2817821,0,1,False,FN
58,0.97589874,0.024101233,0,0,True,TN
59,0.019394303,0.98060566,1,0,False,FP
60,0.99265665,0.007343173,0,1,False,FN
61,0.9954267,0.0045733587,0,0,True,TN
62,0.92284894,0.077151045,0,1,False,FN
63,0.59889275,0.40110722,0,1,False,FN
64,0.99245363,0.0075462116,0,1,False,FN
65,0.98221123,0.017788727,0,1,False,FN
66,0.97589874,0.024101233,0,0,True,TN
67,0.92290735,0.07709264,0,1,False,FN
68,0.97589874,0.024101233,0,1,False,FN
69,0.91224885,0.08775105,0,0,True,TN
70,0.97589874,0.024101233,0,0,True,TN
71,0.97589874,0.024101233,0,0,True,TN
72,0.9547938,0.045206096,0,0,True,TN
73,0.057612482,0.94238746,1,1,True,TP
74,0.9966816,0.003318483,0,0,True,TN
75,0.97536516,0.024634872,0,0,True,TN
76,0.55647117,0.4435288,0,0,True,TN
77,0.99323225,0.006767754,0,1,False,FN
78,0.81343186,0.1865681,0,1,False,FN
79,0.9804315,0.019568572,0,0,True,TN
80,0.9171842,0.08281581,0,0,True,TN
81,0.99437696,0.005623038,0,0,True,TN
82,0.867958,0.13204195,0,0,True,TN
83,0.7005895,0.2994105,0,0,True,TN
84,0.62657404,0.37342593,0,0,True,TN
85,0.3325526,0.6674474,1,1,True,TP
86,0.0011544017,0.99884564,1,0,False,FP
87,0.77467316,0.2253268,0,1,False,FN
88,0.4146533,0.5853467,1,0,False,FP
89,0.892515,0.10748497,0,1,False,FN
90,0.0026267597,0.99737316,1,0,False,FP
91,0.9639359,0.03606408,0,0,True,TN
92,0.9966816,0.003318483,0,0,True,TN
93,0.8998148,0.10018522,0,0,True,TN
94,0.94993573,0.05006424,0,0,True,TN
95,0.6917273,0.3082728,0,0,True,TN
96,0.73584485,0.26415515,0,1,False,FN
97,0.9437094,0.056290686,0,1,False,FN
98,0.982593,0.017406955,0,0,True,TN
99,0.969904,0.030096015,0,0,True,TN
100,0.6865412,0.31345874,0,1,False,FN
101,0.14145228,0.85854775,1,0,False,FP
102,0.18326128,0.8167388,1,1,True,TP
103,0.9749921,0.025008008,0,0,True,TN
104,0.9873365,0.012663417,0,0,True,TN
105,0.9720374,0.027962629,0,0,True,TN
106,0.820652,0.17934796,0,0,True,TN
107,0.93106943,0.06893052,0,0,True,TN
