,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.9999998,1.4993266e-07,0,1,False,FN
1,0.9955519,0.0044480604,0,0,True,TN
2,0.9999674,3.2568005e-05,0,1,False,FN
3,0.7258167,0.2741833,0,1,False,FN
4,0.020854918,0.9791451,1,1,True,TP
5,0.9999791,2.0801905e-05,0,0,True,TN
6,0.9999996,3.6589293e-07,0,1,False,FN
7,2.8358481e-06,0.9999971,1,0,False,FP
8,0.99959856,0.0004014001,0,0,True,TN
9,0.99994355,5.6420726e-05,0,0,True,TN
10,0.97452587,0.025474206,0,0,True,TN
11,0.9968464,0.0031536196,0,0,True,TN
12,0.99028957,0.009710508,0,0,True,TN
13,0.9999983,1.6137204e-06,0,0,True,TN
14,0.7177868,0.28221327,0,1,False,FN
15,0.99989444,0.00010551204,0,0,True,TN
16,0.66876215,0.33123785,0,0,True,TN
17,0.99154013,0.008459871,0,0,True,TN
18,3.2800057e-05,0.99996716,1,1,True,TP
19,0.7258167,0.2741833,0,0,True,TN
20,0.99987173,0.0001284032,0,0,True,TN
21,0.9195964,0.08040365,0,0,True,TN
22,0.99999994,6.1036247e-09,0,1,False,FN
23,0.8867741,0.11322582,0,0,True,TN
24,0.9976767,0.0023233008,0,1,False,FN
25,0.17315635,0.82684356,1,1,True,TP
26,1.2469664e-09,0.99999994,1,1,True,TP
27,0.9991985,0.0008014919,0,0,True,TN
28,0.99998754,1.23516065e-05,0,0,True,TN
29,0.72171587,0.27828413,0,0,True,TN
30,0.98102367,0.018976333,0,1,False,FN
31,0.9851737,0.014826221,0,0,True,TN
32,0.9992323,0.000767773,0,0,True,TN
33,0.03552013,0.96447986,1,1,True,TP
34,0.9421307,0.057869326,0,0,True,TN
35,0.99987435,0.00012569515,0,0,True,TN
36,0.3652929,0.63470703,1,1,True,TP
37,0.297212,0.702788,1,0,False,FP
38,0.9991985,0.0008014919,0,0,True,TN
39,0.96783453,0.032165453,0,1,False,FN
40,0.9999998,1.6939232e-07,0,0,True,TN
41,8.3570484e-20,0.99999994,1,0,False,FP
42,0.9999054,9.458304e-05,0,1,False,FN
43,0.87019736,0.12980263,0,1,False,FN
44,0.9994322,0.00056774437,0,0,True,TN
45,0.1693779,0.83062214,1,0,False,FP
46,0.6439184,0.35608163,0,0,True,TN
47,0.97375655,0.02624343,0,1,False,FN
48,0.6529183,0.3470817,0,0,True,TN
49,0.0116355205,0.9883644,1,0,False,FP
50,6.1097635e-05,0.9999388,1,1,True,TP
51,0.0006045123,0.9993955,1,0,False,FP
52,0.0005232711,0.9994766,1,0,False,FP
53,0.9995356,0.0004643715,0,0,True,TN
54,0.9999996,3.3030082e-07,0,0,True,TN
55,0.99999934,5.6006087e-07,0,1,False,FN
56,0.9997983,0.000201603,0,1,False,FN
57,0.9874149,0.012584966,0,1,False,FN
58,0.9933741,0.0066258856,0,0,True,TN
59,0.0005169107,0.99948305,1,1,True,TP
60,0.003257564,0.99674237,1,0,False,FP
61,0.026289457,0.9737106,1,0,False,FP
62,1.5393745e-10,0.99999994,1,1,True,TP
63,0.9858228,0.014177224,0,0,True,TN
64,0.88393563,0.11606442,0,0,True,TN
65,0.9959819,0.0040182397,0,0,True,TN
66,0.027306575,0.9726933,1,1,True,TP
67,0.00036300148,0.999637,1,1,True,TP
68,0.7258167,0.2741833,0,0,True,TN
69,2.1200501e-08,0.99999994,1,1,True,TP
70,0.6070652,0.39293477,0,0,True,TN
71,0.99999934,6.201082e-07,0,0,True,TN
72,0.9999592,4.077658e-05,0,1,False,FN
73,0.29427424,0.7057257,1,1,True,TP
74,0.0004569133,0.999543,1,0,False,FP
75,5.6092544e-09,0.99999994,1,1,True,TP
76,0.9941149,0.0058850506,0,0,True,TN
77,4.775932e-11,0.99999994,1,1,True,TP
78,0.21895373,0.7810462,1,1,True,TP
79,0.108549386,0.8914505,1,1,True,TP
80,0.9999282,7.175009e-05,0,0,True,TN
81,0.03363233,0.96636766,1,1,True,TP
82,0.9999952,4.7840267e-06,0,0,True,TN
83,0.99995667,4.33221e-05,0,0,True,TN
84,0.04795854,0.9520415,1,0,False,FP
85,0.7258167,0.2741833,0,0,True,TN
86,3.1130606e-12,0.99999994,1,1,True,TP
87,0.16511704,0.83488286,1,0,False,FP
88,0.9617937,0.03820612,0,0,True,TN
89,0.9997997,0.00020031829,0,1,False,FN
90,0.7258167,0.2741833,0,1,False,FN
91,0.04795854,0.9520415,1,0,False,FP
92,0.9913332,0.008666838,0,0,True,TN
93,0.9999996,3.1682669e-07,0,0,True,TN
94,0.99949485,0.00050512736,0,1,False,FN
95,0.0005409082,0.99945915,1,0,False,FP
96,0.04795854,0.9520415,1,1,True,TP
97,0.99991244,8.752395e-05,0,0,True,TN
98,0.0108745955,0.9891254,1,1,True,TP
99,0.9999996,3.3848278e-07,0,0,True,TN
100,0.00012457068,0.99987555,1,1,True,TP
101,0.99999946,4.2024138e-07,0,0,True,TN
102,3.067378e-05,0.9999693,1,1,True,TP
103,0.9862227,0.013777361,0,0,True,TN
104,0.999768,0.00023195829,0,1,False,FN
105,1.5021963e-09,0.99999994,1,1,True,TP
106,0.9999998,1.1157935e-07,0,0,True,TN
107,0.0042968816,0.9957031,1,1,True,TP
108,0.9999998,1.4752331e-07,0,0,True,TN
109,0.965187,0.034812875,0,0,True,TN
110,8.458682e-05,0.9999153,1,0,False,FP
111,0.95296174,0.04703821,0,1,False,FN
112,5.063042e-05,0.9999493,1,1,True,TP
113,0.04795854,0.9520415,1,0,False,FP
114,0.99992126,7.866516e-05,0,1,False,FN
115,0.990583,0.009417113,0,1,False,FN
116,0.9999983,1.7220134e-06,0,0,True,TN
117,0.000116179166,0.9998837,1,0,False,FP
118,0.0043032393,0.9956967,1,0,False,FP
119,0.994906,0.0050939787,0,0,True,TN
120,0.99993724,6.268759e-05,0,0,True,TN
121,2.68363e-09,0.99999994,1,1,True,TP
122,0.999994,5.976406e-06,0,0,True,TN
123,0.9999985,1.4369275e-06,0,1,False,FN
124,0.999799,0.00020108394,0,0,True,TN
125,5.972748e-06,0.999994,1,1,True,TP
126,0.16761759,0.8323825,1,0,False,FP
127,0.9891032,0.010896791,0,0,True,TN
128,0.9999996,3.04923e-07,0,0,True,TN
129,0.91142285,0.08857721,0,1,False,FN
130,0.9998911,0.0001088067,0,0,True,TN
131,0.99973583,0.0002642477,0,0,True,TN
132,0.99991244,8.746144e-05,0,0,True,TN
133,0.9984386,0.0015615004,0,1,False,FN
134,0.99999994,7.3164053e-09,0,1,False,FN
135,0.99997884,2.1123436e-05,0,1,False,FN
136,0.9999934,6.5681647e-06,0,1,False,FN
137,0.99986506,0.00013488365,0,1,False,FN
138,0.99999744,2.5023487e-06,0,1,False,FN
139,0.0073235715,0.9926763,1,0,False,FP
140,8.624419e-07,0.9999991,1,0,False,FP
141,0.047381084,0.95261884,1,1,True,TP
142,0.0006055181,0.9993943,1,1,True,TP
143,0.9999742,2.5702187e-05,0,0,True,TN
144,1.1253526e-07,0.9999998,1,0,False,FP
145,0.9969679,0.003032002,0,0,True,TN
146,0.0010285538,0.99897146,1,1,True,TP
147,0.9999955,4.434024e-06,0,0,True,TN
148,0.007924344,0.9920756,1,1,True,TP
149,0.9999853,1.4718363e-05,0,0,True,TN
150,0.20755862,0.7924413,1,0,False,FP
151,0.9703786,0.02962141,0,0,True,TN
152,0.0014085718,0.99859136,1,0,False,FP
153,0.7258167,0.2741833,0,0,True,TN
154,0.99992096,7.900617e-05,0,1,False,FN
155,0.9999865,1.3422906e-05,0,1,False,FN
156,0.99581945,0.0041805725,0,0,True,TN
157,0.7258167,0.2741833,0,0,True,TN
158,1.0,1.8167953e-12,0,0,True,TN
