,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.86271876,0.13728115,0,1,False,FN
1,0.9703855,0.02961448,0,0,True,TN
2,0.8522711,0.1477289,0,0,True,TN
3,0.9852729,0.014727119,0,0,True,TN
4,0.8522711,0.1477289,0,0,True,TN
5,0.99778754,0.002212501,0,0,True,TN
6,0.51142573,0.4885743,0,0,True,TN
7,0.052791934,0.947208,1,0,False,FP
8,0.03758393,0.96241605,1,1,True,TP
9,0.9523014,0.047698535,0,0,True,TN
10,0.36198375,0.63801616,1,1,True,TP
11,0.6881549,0.31184506,0,0,True,TN
12,0.10180669,0.89819336,1,0,False,FP
13,0.9782406,0.021759348,0,0,True,TN
14,0.8468415,0.15315849,0,0,True,TN
15,0.026660105,0.9733399,1,1,True,TP
16,0.92273,0.07726992,0,1,False,FN
17,0.94866616,0.051333826,0,0,True,TN
18,0.8522711,0.1477289,0,1,False,FN
19,0.20070834,0.79929173,1,1,True,TP
20,0.021835694,0.9781643,1,1,True,TP
21,0.5873055,0.41269442,0,0,True,TN
22,0.6080383,0.3919617,0,1,False,FN
23,0.90526897,0.094730966,0,1,False,FN
24,0.8522711,0.1477289,0,0,True,TN
25,0.84958506,0.15041496,0,0,True,TN
26,0.9656977,0.03430222,0,0,True,TN
27,0.588611,0.411389,0,1,False,FN
28,0.92992574,0.07007426,0,1,False,FN
29,0.8522711,0.1477289,0,0,True,TN
30,0.04000295,0.9599971,1,0,False,FP
31,0.8522711,0.1477289,0,0,True,TN
32,0.8876812,0.11231887,0,0,True,TN
33,0.999952,4.7901318e-05,0,0,True,TN
34,0.9535451,0.046454873,0,1,False,FN
35,0.9337365,0.06626342,0,1,False,FN
36,0.28642258,0.71357745,1,1,True,TP
37,0.8877504,0.11224948,0,0,True,TN
38,0.5888126,0.41118744,0,1,False,FN
39,0.8051811,0.19481899,0,0,True,TN
40,0.5370601,0.4629399,0,0,True,TN
41,0.4630013,0.5369987,1,0,False,FP
42,0.8876812,0.11231887,0,0,True,TN
43,0.8522711,0.1477289,0,0,True,TN
44,0.07491353,0.92508644,1,0,False,FP
45,0.97184324,0.028156746,0,1,False,FN
46,0.86236614,0.13763386,0,0,True,TN
47,0.8522711,0.1477289,0,0,True,TN
48,0.3437917,0.6562082,1,0,False,FP
49,0.8203929,0.17960718,0,1,False,FN
50,0.9943415,0.005658454,0,0,True,TN
51,0.6033142,0.3966858,0,0,True,TN
52,0.708163,0.2918369,0,0,True,TN
53,0.9851279,0.01487198,0,0,True,TN
54,0.9630853,0.03691471,0,1,False,FN
55,0.8376988,0.16230114,0,1,False,FN
56,0.8522711,0.1477289,0,0,True,TN
57,0.9588769,0.041123077,0,1,False,FN
58,0.8876812,0.11231887,0,0,True,TN
59,0.08620387,0.91379607,1,0,False,FP
