,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.32259288,0.6774071,1,0,False,FP
1,1.8803123e-10,0.99999994,1,0,False,FP
2,0.32259288,0.6774071,1,1,True,TP
3,0.32259288,0.6774071,1,1,True,TP
4,1.5179511e-06,0.9999984,1,1,True,TP
5,0.32259288,0.6774071,1,1,True,TP
6,0.8092491,0.19075088,0,1,False,FN
7,0.32259288,0.6774071,1,0,False,FP
8,0.005770743,0.99422926,1,1,True,TP
9,0.32259288,0.6774071,1,1,True,TP
10,0.69113034,0.3088697,0,1,False,FN
11,0.32259288,0.6774071,1,1,True,TP
12,0.0018148662,0.9981851,1,1,True,TP
13,0.005277948,0.99472195,1,0,False,FP
14,0.99656975,0.003430179,0,1,False,FN
15,0.32259288,0.6774071,1,1,True,TP
16,0.0568314,0.9431685,1,0,False,FP
17,0.01178415,0.988216,1,1,True,TP
18,0.055368055,0.9446318,1,0,False,FP
19,0.32259288,0.6774071,1,1,True,TP
20,0.05825988,0.94174016,1,1,True,TP
21,2.236492e-05,0.9999775,1,0,False,FP
22,0.0003051717,0.9996948,1,0,False,FP
23,0.0002574182,0.9997426,1,1,True,TP
24,0.027088372,0.9729116,1,1,True,TP
25,0.0006344628,0.9993655,1,1,True,TP
26,0.32259288,0.6774071,1,1,True,TP
27,0.0016227894,0.9983772,1,1,True,TP
28,0.0053176247,0.9946823,1,1,True,TP
29,0.05825988,0.94174016,1,1,True,TP
30,0.32259288,0.6774071,1,1,True,TP
31,0.05825988,0.94174016,1,1,True,TP
32,0.65051866,0.3494813,0,0,True,TN
33,0.9975205,0.0024795036,0,1,False,FN
34,0.13654621,0.8634537,1,1,True,TP
35,2.6654155e-07,0.9999997,1,1,True,TP
36,0.9962198,0.0037802574,0,1,False,FN
37,0.62011206,0.37988788,0,1,False,FN
38,0.0016227894,0.9983772,1,1,True,TP
39,0.05825988,0.94174016,1,1,True,TP
40,0.05825988,0.94174016,1,1,True,TP
41,0.0034288086,0.9965712,1,1,True,TP
42,0.74821085,0.25178903,0,1,False,FN
43,0.15264215,0.84735775,1,0,False,FP
44,0.010816877,0.9891831,1,0,False,FP
45,0.05825988,0.94174016,1,0,False,FP
46,0.3159353,0.6840646,1,1,True,TP
47,0.32259288,0.6774071,1,0,False,FP
48,0.17457345,0.8254266,1,0,False,FP
49,0.99999994,2.2079623e-08,0,1,False,FN
50,0.19268338,0.80731654,1,0,False,FP
51,0.32259288,0.6774071,1,1,True,TP
52,0.2941956,0.7058044,1,1,True,TP
53,0.991246,0.0087539945,0,0,True,TN
54,0.9884978,0.011502162,0,0,True,TN
55,3.343143e-05,0.99996656,1,1,True,TP
56,0.32259288,0.6774071,1,1,True,TP
57,0.8094743,0.1905257,0,1,False,FN
58,0.0012002382,0.9987998,1,1,True,TP
59,0.32259288,0.6774071,1,1,True,TP
60,0.8846533,0.11534675,0,0,True,TN
61,9.912323e-05,0.99990076,1,1,True,TP
62,9.355084e-06,0.99999064,1,1,True,TP
63,0.32259288,0.6774071,1,0,False,FP
64,0.32259288,0.6774071,1,0,False,FP
65,2.7405267e-07,0.9999997,1,1,True,TP
66,1.1656489e-06,0.99999875,1,1,True,TP
67,0.32259288,0.6774071,1,1,True,TP
68,0.32259288,0.6774071,1,0,False,FP
69,0.99627674,0.0037233254,0,1,False,FN
70,0.07840595,0.921594,1,0,False,FP
71,9.5548344e-08,0.9999998,1,1,True,TP
