,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.14955479,0.8504452,1,1,True,TP
1,0.89130133,0.10869869,0,0,True,TN
2,0.57231516,0.42768478,0,0,True,TN
3,0.57231516,0.42768478,0,1,False,FN
4,0.57231516,0.42768478,0,1,False,FN
5,0.57231516,0.42768478,0,1,False,FN
6,0.13539056,0.8646095,1,1,True,TP
7,0.5720352,0.42796478,0,1,False,FN
8,0.14955479,0.8504452,1,1,True,TP
9,0.57231516,0.42768478,0,1,False,FN
10,0.11434907,0.88565093,1,1,True,TP
11,0.14955479,0.8504452,1,1,True,TP
12,0.57231516,0.42768478,0,0,True,TN
13,0.14955479,0.8504452,1,1,True,TP
14,0.14955479,0.8504452,1,1,True,TP
15,0.2651691,0.7348309,1,1,True,TP
16,0.16546324,0.8345367,1,1,True,TP
17,0.055873826,0.9441261,1,1,True,TP
18,0.57231516,0.42768478,0,1,False,FN
19,0.57231516,0.42768478,0,0,True,TN
20,0.278402,0.721598,1,0,False,FP
21,0.57231516,0.42768478,0,1,False,FN
22,0.38043702,0.61956286,1,1,True,TP
23,0.469205,0.5307949,1,0,False,FP
24,0.16756357,0.8324364,1,0,False,FP
25,0.23231757,0.76768243,1,1,True,TP
26,0.57231516,0.42768478,0,1,False,FN
27,0.27220982,0.72779024,1,1,True,TP
28,0.3047214,0.6952785,1,1,True,TP
29,0.57231516,0.42768478,0,1,False,FN
30,0.65692633,0.34307367,0,1,False,FN
31,0.57231516,0.42768478,0,0,True,TN
32,0.57231516,0.42768478,0,1,False,FN
33,0.57231516,0.42768478,0,0,True,TN
34,0.57231516,0.42768478,0,0,True,TN
35,0.9712985,0.02870153,0,1,False,FN
36,0.57231516,0.42768478,0,1,False,FN
37,0.025921755,0.97407824,1,1,True,TP
38,0.14955479,0.8504452,1,1,True,TP
39,0.57231516,0.42768478,0,0,True,TN
40,0.21869242,0.7813076,1,0,False,FP
41,0.10117554,0.8988245,1,0,False,FP
42,0.57231516,0.42768478,0,0,True,TN
43,0.57231516,0.42768478,0,1,False,FN
44,0.57231516,0.42768478,0,0,True,TN
45,0.57231516,0.42768478,0,1,False,FN
46,0.1511433,0.8488567,1,1,True,TP
47,0.57231516,0.42768478,0,1,False,FN
48,0.9985576,0.0014424127,0,0,True,TN
49,0.5181432,0.4818568,0,1,False,FN
50,0.04219513,0.95780486,1,0,False,FP
51,0.14955479,0.8504452,1,1,True,TP
52,0.2691254,0.7308746,1,1,True,TP
53,0.64252996,0.35747,0,0,True,TN
54,0.14955479,0.8504452,1,1,True,TP
55,0.8669503,0.13304979,0,0,True,TN
56,0.57231516,0.42768478,0,0,True,TN
57,0.57231516,0.42768478,0,0,True,TN
58,0.57231516,0.42768478,0,1,False,FN
59,0.14955479,0.8504452,1,0,False,FP
60,0.008515578,0.99148446,1,1,True,TP
61,0.625509,0.374491,0,1,False,FN
62,0.15137,0.8486299,1,0,False,FP
63,0.15219983,0.84780014,1,1,True,TP
64,0.6853975,0.3146025,0,1,False,FN
65,0.35971475,0.64028525,1,1,True,TP
66,0.57231516,0.42768478,0,0,True,TN
67,0.57231516,0.42768478,0,1,False,FN
68,0.57231516,0.42768478,0,0,True,TN
69,0.20642498,0.79357505,1,0,False,FP
70,0.57231516,0.42768478,0,1,False,FN
