,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.87382764,0.12617238,0,1,False,FN
1,0.74948364,0.25051636,0,0,True,TN
2,0.105342984,0.89465696,1,0,False,FP
3,0.7749349,0.22506511,0,0,True,TN
4,0.8964507,0.103549294,0,0,True,TN
5,0.84981143,0.15018858,0,0,True,TN
6,0.54663736,0.45336255,0,0,True,TN
7,0.81855994,0.18143997,0,0,True,TN
8,0.042668626,0.9573313,1,0,False,FP
9,0.66359115,0.33640882,0,1,False,FN
10,0.18049851,0.8195014,1,1,True,TP
11,0.8880708,0.11192913,0,0,True,TN
12,0.93342876,0.06657118,0,0,True,TN
13,0.29900277,0.70099723,1,0,False,FP
14,0.55314016,0.44685984,0,1,False,FN
15,0.9799531,0.02004689,0,1,False,FN
16,0.9795805,0.02041957,0,0,True,TN
17,0.20058276,0.7994172,1,0,False,FP
18,0.9755036,0.024496442,0,0,True,TN
19,0.7749349,0.22506511,0,0,True,TN
20,0.99979043,0.00020959513,0,0,True,TN
21,0.74047744,0.2595226,0,0,True,TN
22,0.32108155,0.6789185,1,0,False,FP
23,0.83791,0.16209012,0,0,True,TN
24,0.6296296,0.37037045,0,0,True,TN
25,0.29266584,0.7073341,1,1,True,TP
26,0.28589675,0.7141031,1,0,False,FP
27,0.37599304,0.6240068,1,1,True,TP
28,0.2934931,0.7065069,1,1,True,TP
29,0.06579389,0.93420607,1,1,True,TP
30,0.80869704,0.19130297,0,0,True,TN
31,0.35358953,0.64641047,1,0,False,FP
32,0.8128976,0.18710245,0,0,True,TN
33,0.96934307,0.03065692,0,0,True,TN
34,0.6490497,0.35095036,0,0,True,TN
35,0.97810626,0.021893756,0,0,True,TN
36,0.71677154,0.2832285,0,0,True,TN
37,0.040361986,0.95963806,1,0,False,FP
38,0.37599304,0.6240068,1,0,False,FP
39,0.9119253,0.088074595,0,0,True,TN
40,0.913617,0.08638305,0,1,False,FN
41,0.99544334,0.0045567024,0,1,False,FN
42,0.7775726,0.22242737,0,1,False,FN
43,0.9729791,0.027020786,0,0,True,TN
44,0.11632066,0.88367933,1,0,False,FP
45,0.9304196,0.06958034,0,1,False,FN
46,0.9525833,0.047416676,0,1,False,FN
47,0.20666927,0.7933308,1,0,False,FP
48,0.9994651,0.0005349317,0,0,True,TN
49,0.69215703,0.307843,0,0,True,TN
50,0.17570375,0.8242962,1,0,False,FP
51,0.9785676,0.021432279,0,0,True,TN
52,0.92882276,0.0711772,0,0,True,TN
53,0.9010353,0.098964654,0,1,False,FN
54,0.10900227,0.8909977,1,1,True,TP
55,0.99772495,0.0022750315,0,0,True,TN
56,0.65695244,0.3430476,0,1,False,FN
57,0.87139916,0.12860084,0,1,False,FN
58,0.65680546,0.34319445,0,0,True,TN
59,0.99191856,0.008081417,0,0,True,TN
60,0.011949584,0.98805034,1,1,True,TP
61,0.63412994,0.36587012,0,0,True,TN
62,0.9354645,0.06453558,0,1,False,FN
63,0.7319074,0.2680926,0,0,True,TN
64,0.7642752,0.23572473,0,0,True,TN
