,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.6869768,0.31302324,0,0,True,TN
1,0.948468,0.051531915,0,0,True,TN
2,0.6869768,0.31302324,0,0,True,TN
3,0.9437895,0.056210514,0,0,True,TN
4,0.6869768,0.31302324,0,0,True,TN
5,0.6869768,0.31302324,0,0,True,TN
6,0.11150273,0.8884971,1,1,True,TP
7,0.092684455,0.90731555,1,0,False,FP
8,0.046233024,0.953767,1,1,True,TP
9,0.6869768,0.31302324,0,1,False,FN
10,0.074580066,0.9254199,1,1,True,TP
11,0.34477982,0.65522015,1,1,True,TP
12,0.6869768,0.31302324,0,0,True,TN
13,0.81030834,0.18969171,0,0,True,TN
14,0.62710017,0.37289983,0,1,False,FN
15,0.22119178,0.77880824,1,1,True,TP
16,0.28133893,0.71866107,1,0,False,FP
17,0.6869768,0.31302324,0,1,False,FN
18,0.6869768,0.31302324,0,1,False,FN
19,0.6869768,0.31302324,0,1,False,FN
20,0.06559513,0.93440473,1,1,True,TP
21,0.6869768,0.31302324,0,0,True,TN
22,0.6869768,0.31302324,0,1,False,FN
23,0.76426464,0.2357353,0,0,True,TN
24,0.68453866,0.31546134,0,0,True,TN
25,0.49097204,0.5090279,1,1,True,TP
26,0.6869768,0.31302324,0,1,False,FN
27,0.29265717,0.70734286,1,0,False,FP
28,0.99144095,0.008558986,0,0,True,TN
29,0.85495275,0.1450473,0,1,False,FN
30,0.40144855,0.59855145,1,1,True,TP
31,0.6869768,0.31302324,0,1,False,FN
32,0.6869768,0.31302324,0,0,True,TN
33,0.6869768,0.31302324,0,1,False,FN
34,0.7974764,0.20252348,0,1,False,FN
35,0.9051283,0.094871625,0,1,False,FN
36,0.67407316,0.32592684,0,0,True,TN
37,5.3842064e-06,0.9999946,1,1,True,TP
38,0.28133893,0.71866107,1,0,False,FP
39,0.6869768,0.31302324,0,0,True,TN
40,0.36672544,0.63327456,1,0,False,FP
41,0.88102114,0.118978836,0,0,True,TN
42,0.6869768,0.31302324,0,0,True,TN
43,0.6869768,0.31302324,0,0,True,TN
44,0.6869768,0.31302324,0,0,True,TN
45,0.8372526,0.16274743,0,1,False,FN
46,0.35097244,0.64902765,1,1,True,TP
47,0.6869768,0.31302324,0,0,True,TN
48,0.89562905,0.10437087,0,0,True,TN
49,0.32394773,0.67605233,1,0,False,FP
50,0.6869768,0.31302324,0,0,True,TN
51,0.61010003,0.38990006,0,0,True,TN
52,0.48181182,0.5181882,1,0,False,FP
53,0.6869768,0.31302324,0,1,False,FN
54,0.46990833,0.5300917,1,0,False,FP
55,0.5446101,0.4553899,0,1,False,FN
56,0.6869768,0.31302324,0,0,True,TN
57,0.9198601,0.080139935,0,0,True,TN
58,0.6869768,0.31302324,0,0,True,TN
59,0.28133893,0.71866107,1,0,False,FP
60,0.42234764,0.5776523,1,0,False,FP
61,0.9869371,0.0130628515,0,1,False,FN
62,0.5011718,0.4988281,0,0,True,TN
63,0.32624874,0.67375124,1,0,False,FP
64,0.40148506,0.59851485,1,0,False,FP
65,0.43030655,0.5696934,1,1,True,TP
66,0.6869768,0.31302324,0,0,True,TN
67,0.6869768,0.31302324,0,1,False,FN
68,0.6869768,0.31302324,0,0,True,TN
69,0.28492305,0.715077,1,0,False,FP
70,0.6869768,0.31302324,0,0,True,TN
71,0.6869768,0.31302324,0,0,True,TN
72,0.7247891,0.27521092,0,1,False,FN
73,0.7698053,0.23019466,0,0,True,TN
74,0.6476599,0.35234013,0,0,True,TN
75,0.6869768,0.31302324,0,0,True,TN
76,0.79317486,0.20682512,0,0,True,TN
77,0.6869768,0.31302324,0,0,True,TN
78,0.47787067,0.52212936,1,1,True,TP
79,0.9238243,0.07617574,0,1,False,FN
80,0.76825213,0.2317479,0,1,False,FN
81,0.73244095,0.26755896,0,1,False,FN
82,0.6869768,0.31302324,0,0,True,TN
83,0.6869768,0.31302324,0,0,True,TN
84,0.6869768,0.31302324,0,0,True,TN
85,0.0010194611,0.9989805,1,0,False,FP
86,0.6053693,0.39463058,0,1,False,FN
87,0.07070387,0.9292962,1,1,True,TP
88,0.6717637,0.32823622,0,1,False,FN
89,0.9350449,0.06495504,0,0,True,TN
90,0.033558853,0.96644115,1,0,False,FP
91,0.6869768,0.31302324,0,0,True,TN
92,0.6476599,0.35234013,0,0,True,TN
93,0.6869768,0.31302324,0,0,True,TN
94,0.28133893,0.71866107,1,1,True,TP
95,0.6869768,0.31302324,0,0,True,TN
96,0.896758,0.10324203,0,1,False,FN
97,0.20992517,0.7900748,1,1,True,TP
98,0.031934332,0.96806556,1,1,True,TP
99,0.6869768,0.31302324,0,1,False,FN
100,0.05934233,0.9406576,1,1,True,TP
101,0.86121446,0.13878554,0,0,True,TN
102,0.42452303,0.57547694,1,0,False,FP
103,0.18671893,0.81328106,1,1,True,TP
104,0.00080668,0.9991934,1,1,True,TP
105,0.33808932,0.66191065,1,1,True,TP
106,0.0035850583,0.99641484,1,0,False,FP
107,0.5896729,0.41032705,0,1,False,FN
108,0.6752608,0.32473922,0,0,True,TN
109,0.95523965,0.044760324,0,1,False,FN
110,0.8618846,0.13811538,0,1,False,FN
111,0.5713346,0.42866534,0,0,True,TN
112,0.9974985,0.0025015506,0,0,True,TN
113,0.9470058,0.05299414,0,0,True,TN
114,0.6869768,0.31302324,0,0,True,TN
115,2.9579388e-07,0.9999997,1,1,True,TP
116,0.6869768,0.31302324,0,0,True,TN
117,0.7395604,0.26043963,0,0,True,TN
118,0.6869768,0.31302324,0,0,True,TN
119,0.8019876,0.19801244,0,1,False,FN
120,0.6869768,0.31302324,0,0,True,TN
121,0.009955454,0.99004453,1,1,True,TP
122,0.3153627,0.68463725,1,0,False,FP
123,0.6869768,0.31302324,0,0,True,TN
124,0.67083603,0.329164,0,1,False,FN
125,0.32898745,0.6710126,1,1,True,TP
126,0.52225834,0.47774172,0,0,True,TN
127,0.6869768,0.31302324,0,1,False,FN
128,0.28133893,0.71866107,1,0,False,FP
129,0.14384061,0.85615927,1,0,False,FP
130,0.891376,0.10862398,0,0,True,TN
131,0.7025853,0.29741478,0,1,False,FN
132,0.6869768,0.31302324,0,1,False,FN
133,0.6869768,0.31302324,0,1,False,FN
134,0.40588742,0.5941125,1,0,False,FP
135,0.6869768,0.31302324,0,0,True,TN
136,0.8322487,0.16775124,0,0,True,TN
137,0.6869768,0.31302324,0,1,False,FN
138,0.6869768,0.31302324,0,1,False,FN
139,0.6869768,0.31302324,0,1,False,FN
140,0.687095,0.312905,0,1,False,FN
141,0.8430431,0.15695688,0,0,True,TN
142,0.95136994,0.04863,0,1,False,FN
143,0.9272585,0.07274152,0,0,True,TN
144,0.6869768,0.31302324,0,1,False,FN
145,0.5713185,0.42868158,0,1,False,FN
146,0.6869768,0.31302324,0,0,True,TN
147,0.6869768,0.31302324,0,0,True,TN
148,0.6869768,0.31302324,0,0,True,TN
149,0.073887,0.92611295,1,1,True,TP
150,0.031912345,0.9680876,1,1,True,TP
151,0.007336242,0.9926636,1,1,True,TP
152,0.3008825,0.6991175,1,0,False,FP
153,0.31247416,0.68752587,1,0,False,FP
154,0.059961278,0.9400387,1,0,False,FP
155,0.0008943685,0.99910563,1,1,True,TP
156,0.82648176,0.17351823,0,0,True,TN
157,0.9701436,0.029856311,0,1,False,FN
