,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.28681955,0.7131804,1,1,True,TP
1,0.14643021,0.85356975,1,0,False,FP
2,0.016434643,0.9835654,1,1,True,TP
3,0.93868464,0.06131531,0,1,False,FN
4,0.981946,0.018054098,0,1,False,FN
5,0.79856914,0.2014308,0,0,True,TN
6,0.18215029,0.81784964,1,1,True,TP
7,0.9421528,0.057847258,0,0,True,TN
8,0.97735643,0.022643466,0,0,True,TN
9,0.7784183,0.22158167,0,0,True,TN
10,0.96732175,0.032678213,0,1,False,FN
11,0.16425893,0.8357411,1,0,False,FP
12,0.98342013,0.016579894,0,0,True,TN
13,0.8821408,0.11785918,0,0,True,TN
14,0.022625392,0.9773746,1,1,True,TP
15,0.0015837225,0.9984162,1,0,False,FP
16,0.28652978,0.7134703,1,1,True,TP
17,0.65394896,0.346051,0,0,True,TN
18,0.5560736,0.44392642,0,1,False,FN
19,0.93868464,0.06131531,0,0,True,TN
20,0.113014735,0.88698524,1,0,False,FP
21,0.93592757,0.06407231,0,0,True,TN
22,0.04851888,0.9514811,1,1,True,TP
23,0.44473162,0.5552684,1,0,False,FP
24,0.550818,0.44918197,0,1,False,FN
25,0.94433147,0.05566849,0,0,True,TN
26,3.8127112e-07,0.9999996,1,1,True,TP
27,0.91259384,0.08740615,0,0,True,TN
28,0.92521256,0.07478739,0,0,True,TN
29,0.9873318,0.012668248,0,0,True,TN
30,0.10691716,0.8930829,1,0,False,FP
31,0.061271343,0.93872863,1,0,False,FP
32,0.8971161,0.10288381,0,0,True,TN
33,0.9606141,0.039385892,0,0,True,TN
34,0.2215587,0.7784413,1,0,False,FP
35,0.9944687,0.0055313576,0,0,True,TN
36,0.05170095,0.94829905,1,1,True,TP
37,0.9999986,1.3288458e-06,0,1,False,FN
38,0.91259384,0.08740615,0,0,True,TN
39,0.7633961,0.23660392,0,0,True,TN
40,0.5790642,0.42093572,0,0,True,TN
41,6.40658e-06,0.9999935,1,1,True,TP
42,0.4708399,0.5291601,1,1,True,TP
43,0.0002025489,0.9997976,1,1,True,TP
44,0.00017064011,0.9998293,1,0,False,FP
45,0.8228601,0.17713986,0,1,False,FN
46,0.7691621,0.23083788,0,0,True,TN
47,0.55692387,0.44307613,0,1,False,FN
48,9.544885e-07,0.999999,1,0,False,FP
49,0.36899975,0.6310002,1,1,True,TP
50,0.5718052,0.4281948,0,1,False,FN
51,0.94025266,0.0597473,0,1,False,FN
52,0.084529564,0.9154703,1,1,True,TP
53,0.9939308,0.006069114,0,0,True,TN
54,0.9661542,0.03384574,0,0,True,TN
55,0.97372496,0.026275102,0,1,False,FN
56,0.45557576,0.5444243,1,1,True,TP
57,0.6081614,0.39183852,0,1,False,FN
58,0.6141194,0.38588056,0,0,True,TN
59,0.55083233,0.4491676,0,1,False,FN
60,0.0011336562,0.9988662,1,1,True,TP
61,0.9641423,0.03585764,0,0,True,TN
62,0.29165995,0.7083401,1,1,True,TP
63,0.010263457,0.98973656,1,0,False,FP
64,0.65025675,0.34974325,0,0,True,TN
65,0.94673944,0.053260595,0,0,True,TN
66,0.4578911,0.5421089,1,1,True,TP
67,0.42403004,0.57596993,1,1,True,TP
68,0.93868464,0.06131531,0,0,True,TN
69,1.0431333e-05,0.99998945,1,1,True,TP
70,0.42205766,0.5779423,1,0,False,FP
71,0.8581346,0.1418653,0,0,True,TN
72,0.8246958,0.17530422,0,1,False,FN
73,0.65156335,0.34843665,0,1,False,FN
74,0.95012397,0.049875982,0,0,True,TN
75,0.25553516,0.7444649,1,1,True,TP
76,0.9391715,0.06082854,0,0,True,TN
77,0.35289446,0.6471055,1,0,False,FP
78,0.15982233,0.8401777,1,1,True,TP
79,0.011547635,0.98845243,1,1,True,TP
80,0.76044106,0.23955888,0,0,True,TN
81,0.18249713,0.81750286,1,1,True,TP
82,0.6641233,0.3358767,0,0,True,TN
83,0.72414523,0.27585468,0,1,False,FN
84,0.39364648,0.6063535,1,0,False,FP
85,0.93868464,0.06131531,0,0,True,TN
86,0.21532895,0.784671,1,1,True,TP
87,0.55104965,0.4489504,0,0,True,TN
88,0.57123184,0.42876825,0,0,True,TN
89,0.20954831,0.79045165,1,1,True,TP
90,0.93868464,0.06131531,0,0,True,TN
91,7.308197e-06,0.99999267,1,0,False,FP
92,0.25558606,0.74441385,1,0,False,FP
93,0.99895334,0.0010465202,0,0,True,TN
94,0.49840993,0.50159,1,0,False,FP
95,0.5174898,0.48251018,0,0,True,TN
96,0.24189043,0.75810957,1,1,True,TP
97,0.98620516,0.013794832,0,0,True,TN
98,0.5449307,0.45506927,0,1,False,FN
99,0.08536198,0.914638,1,0,False,FP
100,0.04265929,0.95734066,1,1,True,TP
101,0.21202464,0.7879754,1,0,False,FP
102,0.98325837,0.01674165,0,1,False,FN
103,0.99735177,0.0026482858,0,1,False,FN
104,0.875672,0.12432805,0,0,True,TN
105,4.422162e-06,0.9999955,1,1,True,TP
106,0.93876374,0.061236247,0,1,False,FN
107,0.111013174,0.8889869,1,1,True,TP
108,0.96738976,0.032610103,0,1,False,FN
109,0.8014509,0.19854908,0,1,False,FN
110,0.23037934,0.7696206,1,0,False,FP
111,0.9174864,0.0825136,0,1,False,FN
112,0.4353745,0.5646254,1,1,True,TP
113,0.051119324,0.9488806,1,0,False,FP
114,0.83173245,0.16826753,0,1,False,FN
115,0.9999561,4.3874392e-05,0,1,False,FN
116,0.9943349,0.0056651277,0,0,True,TN
117,0.002569152,0.99743086,1,0,False,FP
118,0.16938506,0.8306149,1,0,False,FP
119,0.92580837,0.07419159,0,0,True,TN
120,0.66124946,0.33875054,0,0,True,TN
121,0.9981488,0.0018512727,0,1,False,FN
